w1,w2,w3,Q_value
0.15000000000000002,0.2,0.65,-0.001880390996253417
0.0,0.25,0.75,-0.0018823700128422836
0.55,0.30000000000000004,0.15,-0.001883751235995286
0.7000000000000001,0.30000000000000004,-0.0,-0.0018840212448059978
0.4,0.0,0.6,-0.0018867884473877262
0.4,0.6000000000000001,-0.0,-0.0018872099053551291
0.35000000000000003,0.45,0.2,-0.0018886438678566745
0.2,0.55,0.25,-0.001889499346202352
0.6000000000000001,0.1,0.3,-0.001892367146726991
0.6000000000000001,0.0,0.4,-0.001893302059378753
1.0,0.0,0.0,-0.0018940496047470715
0.55,0.15000000000000002,0.3,-0.0018945706243112777
0.5,0.25,0.25,-0.0018969048107530452
0.45,0.0,0.55,-0.0018979907315953603
0.55,0.45,-0.0,-0.0018984684832709727
0.45,0.2,0.35,-0.001900455641453987
0.35000000000000003,0.15000000000000002,0.5,-0.0019008391968891908
0.25,0.6000000000000001,0.15,-0.0019009803967511513
0.1,0.2,0.7,-0.0019042025439109191
0.7000000000000001,0.15000000000000002,0.15,-0.001911830719777042
0.1,0.6000000000000001,0.3,-0.0019125354858829232
0.6000000000000001,0.35000000000000003,0.05,-0.001913931981508219
0.35000000000000003,0.4,0.25,-0.00191630953598018
0.5,0.4,0.1,-0.0019177509969556365
0.8,0.15000000000000002,0.05,-0.0019190790860543953
0.1,0.9,0.0,-0.001921137426113332
0.55,0.05,0.4,-0.0019268206682443315
0.65,0.1,0.25,-0.0019373164286532814
0.0,0.65,0.35,-0.0019374209132923233
0.4,0.55,0.05,-0.001941227844412119
0.4,0.45,0.15,-0.0019419004193747932
0.15000000000000002,0.25,0.6,-0.0019431188727851703
0.65,0.0,0.35,-0.00194592697556133
0.4,0.1,0.5,-0.0019459897360487347
0.35000000000000003,0.1,0.55,-0.0019463637864940357
0.05,0.55,0.4,-0.001952747603943109
0.0,0.6000000000000001,0.4,-0.00195287914569021
0.5,0.0,0.5,-0.0019552666855340486
0.25,0.55,0.2,-0.0019563479661335002
0.75,0.0,0.25,-0.0019586743675978654
0.6000000000000001,0.15000000000000002,0.25,-0.0019598730234859692
0.0,0.8,0.2,-0.0019600331052738386
0.30000000000000004,0.30000000000000004,0.4,-0.0019646906094162985
0.0,1.0,0.0,-0.0019648204489180546
0.35000000000000003,0.35000000000000003,0.3,-0.0019656074514304168
0.15000000000000002,0.8500000000000001,-0.0,-0.001968545242503906
0.15000000000000002,0.35000000000000003,0.5,-0.0019712067259805657
0.25,0.0,0.75,-0.001971536550243959
0.2,0.75,0.05,-0.0019726681646146512
0.05,0.45,0.5,-0.0019744884429117693
0.4,0.25,0.35,-0.0019757364841079266
0.05,0.2,0.75,-0.0019771670696135677
0.75,0.25,0.0,-0.001984947537370739
0.8500000000000001,0.05,0.1,-0.001987150684433843
0.25,0.75,0.0,-0.001988507945760618
0.0,0.1,0.9,-0.001988517485652263
0.25,0.15000000000000002,0.6,-0.0019944091230580507
0.30000000000000004,0.35000000000000003,0.35,-0.001997353581956294
0.1,0.5,0.4,-0.001999560854464109
0.4,0.30000000000000004,0.3,-0.0020001995862163283
0.1,0.8500000000000001,0.05,-0.0020010163627791192
0.1,0.25,0.65,-0.002004107660955128
0.05,0.0,0.95,-0.0020058483421561153
0.1,0.8,0.1,-0.0020098166799328962
0.2,0.15000000000000002,0.65,-0.0020110275138445753
0.65,0.30000000000000004,0.05,-0.0020113957149198954
0.05,0.05,0.9,-0.0020225226888297572
0.2,0.0,0.8,-0.002024470584993752
0.05,0.35000000000000003,0.6,-0.0020279913391755807
0.45,0.15000000000000002,0.4,-0.002029079274495226
0.15000000000000002,0.55,0.3,-0.0020335067401325924
0.4,0.15000000000000002,0.45,-0.002035763771847239
0.2,0.30000000000000004,0.5,-0.0020441265186468657
0.65,0.35000000000000003,-0.0,-0.0020445512367228105
0.2,0.4,0.4,-0.0020470484948442533
0.6000000000000001,0.25,0.15,-0.0020479347070988126
0.05,0.8500000000000001,0.1,-0.0020493440576460392
0.25,0.35000000000000003,0.4,-0.002051323681609699
0.35000000000000003,0.55,0.1,-0.0020516417110090597
0.35000000000000003,0.65,-0.0,-0.0020517655812600176
0.0,0.75,0.25,-0.0020578011072358337
0.55,0.2,0.25,-0.0020613316398721227
0.1,0.65,0.25,-0.0020642311088453925
0.55,0.1,0.35,-0.0020644766924609805
0.1,0.7000000000000001,0.2,-0.0020678969132565794
0.55,0.4,0.05,-0.002069759295717445
0.8,0.0,0.2,-0.002075485039645877
0.0,0.55,0.45,-0.0020777828059843208
0.15000000000000002,0.45,0.4,-0.0020781350302169405
0.35000000000000003,0.05,0.6,-0.0020782811076026407
0.55,0.0,0.45,-0.0020800362721140227
0.15000000000000002,0.5,0.35,-0.0020829540201842576
0.25,0.7000000000000001,0.05,-0.002083435960147451
0.6000000000000001,0.4,-0.0,-0.002085324316600071
0.7000000000000001,0.2,0.1,-0.002092323924290309
0.1,0.30000000000000004,0.6,-0.0021130937954812763
0.8,0.2,-0.0,-0.0021165225752274655
0.65,0.2,0.15,-0.002128096793474589
0.4,0.05,0.55,-0.002140855215051226
0.4,0.2,0.4,-0.002142492378417501
0.05,0.30000000000000004,0.65,-0.0021428890199578846
0.05,0.8,0.15,-0.0021441623265919616
0.45,0.55,0.0,-0.002144886871886797
0.45,0.4,0.15,-0.0021532256862658175
0.75,0.15000000000000002,0.1,-0.0021542643829558458
0.2,0.2,0.6,-0.0021554763986809263
0.15000000000000002,0.0,0.85,-0.0021606154284753635
0.30000000000000004,0.2,0.5,-0.0021614187778910892
0.25,0.1,0.65,-0.0021645452445855006
0.15000000000000002,0.7000000000000001,0.15,-0.0021679820670534914
0.0,0.9500000000000001,0.05,-0.0021714714980436253
0.8500000000000001,0.15000000000000002,-0.0,-0.0021862106225807197
0.05,0.15000000000000002,0.8,-0.0021929664453107954
0.1,0.4,0.5,-0.002193288762193099
0.2,0.5,0.3,-0.002202664611313373
0.25,0.2,0.55,-0.0022148903695487867
0.2,0.8,0.0,-0.0022162440748213124
0.9,0.1,-0.0,-0.0022178818912044515
0.0,0.30000000000000004,0.7,-0.0022219421948355975
0.0,0.7000000000000001,0.3,-0.002233501259653584
0.0,0.5,0.5,-0.0022403916398986727
0.9500000000000001,0.05,-0.0,-0.0022442224940659385
0.1,0.1,0.8,-0.0022497650558697254
0.1,0.35000000000000003,0.55,-0.002253373359477119
0.7000000000000001,0.1,0.2,-0.0022787132081697843
0.2,0.35000000000000003,0.45,-0.0022811234284443958
0.5,0.45,0.05,-0.0022882194821691676
0.6000000000000001,0.30000000000000004,0.1,-0.0022898577304496836
0.0,0.0,1.0,-0.002307770766937539
0.0,0.05,0.95,-0.0023201148796036155
0.45,0.30000000000000004,0.25,-0.0023532718692081387
0.25,0.25,0.5,-0.0023540695255946623
0.05,0.4,0.55,-0.002368472924965729
0.9500000000000001,0.0,0.05,-0.002395691115558606
0.05,0.75,0.2,-0.002403469482029566
0.30000000000000004,0.0,0.7,-0.002411959663660701
0.1,0.0,0.9,-0.002469716797966761
0.30000000000000004,0.7000000000000001,-0.0,-0.002497603140130232
0.0,0.15000000000000002,0.85,-0.0024986230653888863
0.30000000000000004,0.65,0.05,-0.0025056241263735667
0.55,0.25,0.2,-0.0025167751844577483
